sku,nombre,precio,costo,categoria,mpn,proveedor,ubicacion,ancho_cm,alto_cm,proveedor_contacto,proveedor_telefono,id_articulo_original,calcula_id_original,numero_control_excel,precio_compra_con_iva,iva_compra,porcentaje_a_ganar,utilidad_excel,es_compra_interna,openpay_comision,openpay_iva,comision_tienda_nube,total_comisiones,descuento_pago_transferencia_pct,iva_venta_desglosar,precio_venta_sin_iva,ganancia_real_excel
OL-DUR-DUL-0020,DURAZNO EN ALMIBAR DE 1 KG.,195,105,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0020,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0020,125,20,45,56.25,,6.13,0.98,6.37,13.47,3.46,26.86,168,63
OL-DUR-DUL-0021,DURAZNO EN ALMIBAR DE 1/2 KG.,111,59,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0021,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0021,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
OL-DUR-DUL-0022,DURAZNO RAJA/MITADES EN ALMIBAR DE 1KG,211,114,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0022,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0022,136,21.76,45,61.2,,6.44,1.03,6.69,14.17,3.35,29.15,182,68
OL-MAC-DUL-0023,"MACEDONIA EN ALMIBAR DE 1 KG COMBINACIÒN DE FRUTAS DE HIGO, PERA, DURAZNO",211,114,DULCES TIPICOS Y ALIMENTOS,OL-MAC-DUL-0023,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0023,136,21.76,45,61.2,,6.44,1.03,6.69,14.17,3.35,29.15,182,68
OL-MAC-DUL-0024,"MACEDONIA EN ALMIBAR DE 1/2 KG COMBINACIÒN DE FRUTAS DE HIGO, PERA, DURAZNO",6,,DULCES TIPICOS Y ALIMENTOS,OL-MAC-DUL-0024,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0024,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-PER-DUL-0025,PERAS EN ALMIBAR DE 1 KG,180,97,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0025,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0025,115,18.4,45,51.75,,5.84,0.93,6.07,12.84,3.57,24.77,155,58
OL-PER-DUL-0026,PERAS EN ALMIBAR DE 1/2 KG,105,55,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0026,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0026,66,10.56,45,29.7,,4.41,0.71,4.62,9.74,4.62,14.54,91,35
OL-MEM-DUL-0027,MEMBRILLOS EN ALMIBAR DE 1/2 KG,111,59,DULCES TIPICOS Y ALIMENTOS,OL-MEM-DUL-0027,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0027,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
OL-ZAR-DUL-0028,ZARZAMORA EN ALMIBAR DE 1/2KG,6,,DULCES TIPICOS Y ALIMENTOS,OL-ZAR-DUL-0028,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0028,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-TEJ-DUL-0029,TEJOCOTES EN ALMIBAR DE 1KG,225,122,DULCES TIPICOS Y ALIMENTOS,OL-TEJ-DUL-0029,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0029,145,23.2,45,65.25,,6.71,1.07,6.96,14.74,3.28,31.03,194,72
OL-TEJ-DUL-0030,TEJOCOTES EN ALMIBAR DE 1/2KG,142,76,DULCES TIPICOS Y ALIMENTOS,OL-TEJ-DUL-0030,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0030,90,14.4,45,40.5,,5.11,0.82,5.33,11.26,3.97,19.55,122,47
OL-HIG-DUL-0031,HIGO EN ALMIBAR DE 1/2KG,111,59,DULCES TIPICOS Y ALIMENTOS,OL-HIG-DUL-0031,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0031,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
OL-CHO-DUL-0032,CHONGOS DE 500 GR,180,97,DULCES TIPICOS Y ALIMENTOS,OL-CHO-DUL-0032,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0032,115,18.4,45,51.75,,5.84,0.93,6.07,12.84,3.57,24.77,155,58
OL-CHO-DUL-0033,CHONGOS DE 1000 GR,210,113,DULCES TIPICOS Y ALIMENTOS,OL-CHO-DUL-0033,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0033,135,21.6,45,60.75,,6.42,1.03,6.66,14.11,3.36,28.95,181,68
OL-CAP-DUL-0034,CAPULINES EN DULCE 1 KG.,233,126,DULCES TIPICOS Y ALIMENTOS,OL-CAP-DUL-0034,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0034,150,24,45,67.5,,6.85,1.1,7.11,15.05,3.24,32.08,200,74
OL-CAP-DUL-0035,CAPULINES EN DULCE 1/2 KG.,6,,DULCES TIPICOS Y ALIMENTOS,OL-CAP-DUL-0035,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0035,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-MER-DUL-0036,MERMELADA DE TEJOCOTE 330 GR.,78,40,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0036,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0036,48,7.68,45,21.6,,3.89,0.62,4.08,8.6,5.5,10.79,67,27
OL-MER-DUL-0037,MERMELADA DE MEMBRILLO 330 GR.,78,40,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0037,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0037,48,7.68,45,21.6,,3.89,0.62,4.08,8.6,5.5,10.79,67,27
OL-MER-DUL-0038,MERMELADA DE CHABACANO 330GR.,78,40,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0038,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0038,48,7.68,45,21.6,,3.89,0.62,4.08,8.6,5.5,10.79,67,27
OL-MER-DUL-0039,MERMELADA DE ZARZAMORA 330 GR,105,55,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0039,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0039,66,10.56,45,29.7,,4.41,0.71,4.62,9.74,4.62,14.54,91,35
OL-MER-DUL-0040,MERMELADA DE HIGO 330 GR.,78,40,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0040,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0040,48,7.68,45,21.6,,3.89,0.62,4.08,8.6,5.5,10.79,67,27
OL-MER-DUL-0041,MERMELADA DE ZARZAMORA CON CHILE DE 330 GR,105,55,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0041,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0041,66,10.56,45,29.7,,4.41,0.71,4.62,9.74,4.62,14.54,91,35
OL-MER-DUL-0042,MERMELADA DE ARANDANO DE 330 GR,105,55,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0042,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0042,66,10.56,45,29.7,,4.41,0.71,4.62,9.74,4.62,14.54,91,35
OL-MER-DUL-0043,MERMELADA DE DURAZNO C/ TAMARINDO DE 330 GR,78,40,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0043,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0043,48,7.68,45,21.6,,3.89,0.62,4.08,8.6,5.5,10.79,67,27
OL-MER-DUL-0044,MERMELADA DE PERA CIRUELA Y CHIA DE 330 GR,6,,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0044,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0044,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-MER-DUL-0045,MERMELADA DE COCTEL DE FRUTAS CON CHÍA DE 330 GR,6,,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0045,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0045,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-MER-DUL-0046,MERMELADA GUAYABA CON CHILE DE 330 GR,78,40,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0046,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0046,48,7.68,45,21.6,,3.89,0.62,4.08,8.6,5.5,10.79,67,27
OL-MER-DUL-0047,MERMELADA DE GUAYABA CON CHIA DE 330 GR,78,40,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0047,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0047,48,7.68,45,21.6,,3.89,0.62,4.08,8.6,5.5,10.79,67,27
OL-MER-DUL-0048,MERMELADA DE MANZANA MANZANILLA CANELA DE 330 GR,78,40,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0048,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0048,48,7.68,45,21.6,,3.89,0.62,4.08,8.6,5.5,10.79,67,27
OL-DUR-DUL-0049,DURAZNOS PRENSADOS CON MIEL DE AGAVE DE 500 GR,6,,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0049,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0049,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-DUR-DUL-0050,DURAZNOS EN ALMIBAR CON MIEL DE AGAVE DE 500 GR,6,,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0050,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0050,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-MER-DUL-0051,MERMELADA DE HIGO CON HIERBABUENA Y MIEL DE AGAVE DE 330 GR,6,,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0051,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0051,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-MER-DUL-0052,MERMELADA DE DURAZNO CON MIEL DE AGAVE DE 330 GR,111,59,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0052,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0052,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
OL-MER-DUL-0053,Mermelada de Tejocote con Miel de Agave de 330gr,111,59,DULCES TIPICOS Y ALIMENTOS,OL-MER-DUL-0053,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0053,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
SINCODIGO-0061,Mermelada de Membrillo con Miel de Agave de 330gr,111,59,,,,,,,,,,,,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
SINCODIGO-0062,Mermelada de manzana manzanilla canela de 330 gr,111,59,,,,,,,,,,,,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
SINCODIGO-0063,Cajeta Quemada y Envinada de 1 kg,187,101,,,,,,,,,,,,120,19.2,45,54,,5.98,0.96,6.22,13.16,3.51,25.81,161,61
SINCODIGO-0064,Cajeta Quemada y Envinada de 500 gr,104,55,,,,,,,,,,,,65,10.4,45,29.25,,4.39,0.7,4.59,9.67,4.65,14.33,90,35
SINCODIGO-0065,Cajeta Quemada y Envinada de 250 gr,111,59,,,,,,,,,,,,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
OL-SAL-DUL-0054,SALSA DE CHILE CHILPOTLE CON PERA DE 275GR.,111,59,DULCES TIPICOS Y ALIMENTOS,OL-SAL-DUL-0054,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0054,70,11.2,45,31.5,,4.53,0.72,4.74,9.99,4.48,15.38,96,37
OL-SAL-DUL-0055,SALSA MACHA DE SEMILLAS DE 275GR.,142,76,DULCES TIPICOS Y ALIMENTOS,OL-SAL-DUL-0055,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0055,90,14.4,45,40.5,,5.11,0.82,5.33,11.26,3.97,19.55,122,47
SINCODIGO-0068,Chile Peron En Escabeche de 1000g,187,101,,,,,,,,,,,,120,19.2,45,54,,5.98,0.96,6.22,13.16,3.51,25.81,161,61
SINCODIGO-0069,Chile Peron En Escabeche de 500 kg,119,63,,,,,,,,,,,,75,12,45,33.75,,4.68,0.75,4.88,10.31,4.33,16.42,103,40
OL-CHI-DUL-0056,CHILE CHIPOTLE EN ESCABECHE DE 1000 G,6,,DULCES TIPICOS Y ALIMENTOS,OL-CHI-DUL-0056,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0056,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-NOP-DUL-0057,NOPALES EN ESCABECHE DE 500KG,6,,DULCES TIPICOS Y ALIMENTOS,OL-NOP-DUL-0057,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0057,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-LIC-DUL-0059,LICOR DE MEMBRILLO DE 750 ML.,210,113,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0059,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0059,135,21.6,45,60.75,,6.42,1.03,6.66,14.11,3.36,28.95,181,68
OL-LIC-DUL-0060,LICOR DE MEMBRILLO DE 500 ML.,180,97,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0060,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0060,115,18.4,45,51.75,,5.84,0.93,6.07,12.84,3.57,24.77,155,58
OL-LIC-DUL-0061,LICOR DE MEMBRILLO DE 250 ML.,119,63,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0061,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0061,75,12,45,33.75,,4.68,0.75,4.88,10.31,4.33,16.42,103,40
OL-LIC-DUL-0062,LICOR DE MEMBRILLO DE 50 ML.,36,17,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0062,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0062,20,3.2,45,9,,3.08,0.49,3.25,6.82,9.52,4.94,31,14
OL-LIC-DUL-0063,LICOR DE CAPULIN DE 750 ML.,210,113,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0063,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0063,135,21.6,45,60.75,,6.42,1.03,6.66,14.11,3.36,28.95,181,68
OL-LIC-DUL-0064,LICOR DE CAPULIN DE 500 ML.,180,97,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0064,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0064,115,18.4,45,51.75,,5.84,0.93,6.07,12.84,3.57,24.77,155,58
OL-LIC-DUL-0065,LICOR DE CAPULIN DE 250 ML.,119,63,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0065,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0065,75,12,45,33.75,,4.68,0.75,4.88,10.31,4.33,16.42,103,40
OL-LIC-DUL-0066,LICOR DE CAPULIN DE 50 ML.,36,17,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0066,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0066,20,3.2,45,9,,3.08,0.49,3.25,6.82,9.52,4.94,31,14
OL-CRE-DUL-0067,CREMA DE CHABACANO DE 750 ML.,210,113,DULCES TIPICOS Y ALIMENTOS,OL-CRE-DUL-0067,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0067,135,21.6,45,60.75,,6.42,1.03,6.66,14.11,3.36,28.95,181,68
OL-CRE-DUL-0068,CREMA DE CHABACANO DE 500 ML.,180,97,DULCES TIPICOS Y ALIMENTOS,OL-CRE-DUL-0068,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0068,115,18.4,45,51.75,,5.84,0.93,6.07,12.84,3.57,24.77,155,58
OL-CRE-DUL-0069,CREMA DE CHABACANO DE 250 ML.,119,63,DULCES TIPICOS Y ALIMENTOS,OL-CRE-DUL-0069,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0069,75,12,45,33.75,,4.68,0.75,4.88,10.31,4.33,16.42,103,40
OL-CRE-DUL-0070,CREMA DE CHABACANO DE 50 ML.,36,17,DULCES TIPICOS Y ALIMENTOS,OL-CRE-DUL-0070,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0070,20,3.2,45,9,,3.08,0.49,3.25,6.82,9.52,4.94,31,14
OL-LIC-DUL-0071,LICOR CREMA DE DURAZNO DE 750 ML.,210,113,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0071,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0071,135,21.6,45,60.75,,6.42,1.03,6.66,14.11,3.36,28.95,181,68
OL-LIC-DUL-0072,LICOR CREMA DE DURAZNO DE 500 ML.,180,97,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0072,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0072,115,18.4,45,51.75,,5.84,0.93,6.07,12.84,3.57,24.77,155,58
OL-LIC-DUL-0073,LICOR CREMA DE DURAZNO DE 250 ML.,119,63,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0073,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0073,75,12,45,33.75,,4.68,0.75,4.88,10.31,4.33,16.42,103,40
OL-LIC-DUL-0074,LICOR CREMA DE DURAZNO DE 50 ML.,36,17,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0074,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0074,20,3.2,45,9,,3.08,0.49,3.25,6.82,9.52,4.94,31,14
OL-LIC-DUL-0075,LICOR DE MANZANA DE 750 ML.,210,113,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0075,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0075,135,21.6,45,60.75,,6.42,1.03,6.66,14.11,3.36,28.95,181,68
OL-LIC-DUL-0076,LICOR DE MANZANA DE 500 ML.,180,97,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0076,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0076,115,18.4,45,51.75,,5.84,0.93,6.07,12.84,3.57,24.77,155,58
OL-LIC-DUL-0077,LICOR DE MANZANA DE 250 ML.,119,63,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0077,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0077,75,12,45,33.75,,4.68,0.75,4.88,10.31,4.33,16.42,103,40
OL-LIC-DUL-0078,LICOR DE MANZANA DE 50 ML.,36,17,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0078,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0078,20,3.2,45,9,,3.08,0.49,3.25,6.82,9.52,4.94,31,14
OL-LIC-DUL-0079,LICOR CREMA DE GUAYABA DE 750 ML.,210,113,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0079,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0079,135,21.6,45,60.75,,6.42,1.03,6.66,14.11,3.36,28.95,181,68
OL-LIC-DUL-0080,LICOR CREMA DE GUAYABA DE 500 ML.,180,97,DULCES TIPICOS Y ALIMENTOS,OL-LIC-DUL-0080,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0080,115,18.4,45,51.75,,5.84,0.93,6.07,12.84,3.57,24.77,155,58
